They do not!	They do to!
Oh yeah.	You think?
You think?	Yeah.  I guess.
Yeah.  I guess.	Cool pictures.  You a fan?
Cool pictures.  You a fan?	Hi.
Hi.	Hey there.  Tired of breathing?
Hey there.  Tired of breathing?	Man -- don't say shit like that to  me. People can hear you.
Man -- don't say shit like that to  me. People can hear you.	Sweet love, renew thy force!
Sweet love, renew thy force!	You were right. She's still pissed.
You were right. She's still pissed.	No - I've got a sweet-payin' job that I'm about to lose.
No - I've got a sweet-payin' job that I'm about to lose.	So you got cozy with she who stings?
So you got cozy with she who stings?	I'm likin' you guys better
I'm likin' you guys better	I prefer to think of it simply as an alternative to what the law allows.
I prefer to think of it simply as an alternative to what the law allows.	Yeah.
Yeah.	Ever been to Club Skunk?
Ever been to Club Skunk?	Just for now.
Just for now.	Are you telling me I'm a -  "non-smoker"?
Are you telling me I'm a -  "non-smoker"?	Good enough.
Good enough.	What?!
What?!	We're your guys.
We're your guys.	You two are gonna help me tame the wild beast?
You two are gonna help me tame the wild beast?	Patrick, Pat, you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.
Patrick, Pat, you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.	So Dorsey can get the girl?
So Dorsey can get the girl?	That's where we can help you.  With Kat.
That's where we can help you.  With Kat.	Dorsey can plow whoever he wants. I'm just in this for the cash.
Dorsey can plow whoever he wants. I'm just in this for the cash.	I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.
I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.	What is it with this chick?  She have three tits?
What is it with this chick?  She have three tits?	The situation is, my man Cameron here has a major jones for Bianca Stratford.
The situation is, my man Cameron here has a major jones for Bianca Stratford.	What plan?
What plan?	Whatever the hell it is you're standin' there waitin' to say.
Whatever the hell it is you're standin' there waitin' to say.	What?
What?	Say it
Say it	See you next week!
See you next week!	You're completely demented.
You're completely demented.	Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...
Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...	You weren't abused, you aren't stupid, and as far as I can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?
You weren't abused, you aren't stupid, and as far as I can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?	What's to discuss?
What's to discuss?	Why don't we discuss your driving need to be a hemorrhoid?
Why don't we discuss your driving need to be a hemorrhoid?	I'm at a loss, then.  What should we talk about? Your year of absence?
I'm at a loss, then.  What should we talk about? Your year of absence?	Touch of the flu.
Touch of the flu.	I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?
I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?	With the teeth of your zipper?
With the teeth of your zipper?	It was a bratwurst.  I was eating lunch.
It was a bratwurst.  I was eating lunch.	It says here you exposed yourself to a group of freshmen girls.
It says here you exposed yourself to a group of freshmen girls.	I missed you.
I missed you.	That ' s what I thought
That ' s what I thought	Absolutely not.
Absolutely not.	Did I have anything to say about it?
Did I have anything to say about it?	Your daughters went to the prom.
Your daughters went to the prom.	What just happened?
What just happened?	But -- who -- what --?
But -- who -- what --?	Have a great time, honey!
Have a great time, honey!	Dr. Ruth?
Dr. Ruth?	What do you wanna watch?  We've got crap, crap, crap or crap
What do you wanna watch?  We've got crap, crap, crap or crap	Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.
Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.	They'll dance, they'll kiss, they'll come home.  Let her go.
They'll dance, they'll kiss, they'll come home.  Let her go.	Pirate -- no question.
Pirate -- no question.	Would you rather be ravished by a pirate or a British rear admiral?
Would you rather be ravished by a pirate or a British rear admiral?	You're not helping.
You're not helping.	Tumescent!
Tumescent!	Jesus!  Can a man even grab a sandwich before you women start dilating?
Jesus!  Can a man even grab a sandwich before you women start dilating?	Sarah Lawrence is on the other side of the country.
Sarah Lawrence is on the other side of the country.	What's a synonym for throbbing?
What's a synonym for throbbing?	Make anyone cry today?
Make anyone cry today?	In the microwave.
In the microwave.	I can't pretend to be your husband... David's in great shape.
I can't pretend to be your husband... David's in great shape.	Akta dedero ansila do mektet.
Akta dedero ansila do mektet.	No, I'm not proud of myself... But we don't have the luxury of choice.
No, I'm not proud of myself... But we don't have the luxury of choice.	Vano da, mechteba?! Soun domo kala chon hammas!
Vano da, mechteba?! Soun domo kala chon hammas!	You know exactly where they are!
You know exactly where they are!	Ikset-kiba.  Me imanetaba oum dalat!
Ikset-kiba.  Me imanetaba oum dalat!	The case was stolen?
The case was stolen?	San Agamat chay bet... envolet!
San Agamat chay bet... envolet!	The case..with the stones... Where is it?
The case..with the stones... Where is it?	Napoleon... small.
Napoleon... small.	What're you laughing about?
What're you laughing about?	At your service.
At your service.	Corn-i-Lius?
Corn-i-Lius?	Appipulai Leeloo Minai..
Appipulai Leeloo Minai..	I know...
I know...	You are a monster, Zorg!
You are a monster, Zorg!	Let me reassure you Father..I will never kill more people in my entire life than religion has killed in the last 2000 years.
Let me reassure you Father..I will never kill more people in my entire life than religion has killed in the last 2000 years.	Destroying a glass is one thing..killing people with the weapons you produce is quite another.
Destroying a glass is one thing..killing people with the weapons you produce is quite another.	Father, by creating a little destruction, I am, in fact, encouraging life!  So, in reality, you and I are in the same business!
Father, by creating a little destruction, I am, in fact, encouraging life!  So, in reality, you and I are in the same business!	They are robots!
They are robots!	...Look at all these little things... so busy all of a sudden. Notice how each one is useful. What a lovely ballet, so full of form and color.  So full of..life!
...Look at all these little things... so busy all of a sudden. Notice how each one is useful. What a lovely ballet, so full of form and color.  So full of..life!	Follow me.. Life, which you so nobly serve, comes from destruction. Look at this empty glass.
Follow me.. Life, which you so nobly serve, comes from destruction. Look at this empty glass.	No thank you.
No thank you.	...would you like a drink?
...would you like a drink?	Ah, Father... You are so wrong. Let me explain...
Ah, Father... You are so wrong. Let me explain...	...I'm a priest! I'm here to serve life, All you want to do is destroy it.
...I'm a priest! I'm here to serve life, All you want to do is destroy it.	Why?  What's wrong with me?
Why?  What's wrong with me?	Even it I did know where the stones were I would never tell somebody like you.
Even it I did know where the stones were I would never tell somebody like you.	Personally, they are of no interest to me, I'd rather sell weapons..but I have a customer... so tell me...
Personally, they are of no interest to me, I'd rather sell weapons..but I have a customer... so tell me...	...Why on earth do the stones interest you?
...Why on earth do the stones interest you?	I'm glad you got your memory back, Father... Because you're going to need it... Where are the stones?
I'm glad you got your memory back, Father... Because you're going to need it... Where are the stones?	I remember you now..the so called art dealer.
I remember you now..the so called art dealer.	Zorg. Jean-Baptiste Emmanuel Zorg... nice to see you again
Zorg. Jean-Baptiste Emmanuel Zorg... nice to see you again	I'm fucked!
I'm fucked!	...We're saved!
...We're saved!	That's what I'm saying.
That's what I'm saying.	And you don't know how they open, is that what you are saying?
And you don't know how they open, is that what you are saying?	Yes, of course, but... The Stones are shut! They have to be open for it to work.
Yes, of course, but... The Stones are shut! They have to be open for it to work.	There's no light! You told me there were supposed to be four beams of light.
There's no light! You told me there were supposed to be four beams of light.	Theoretically, yes! The four Stones form the beam and the Fifth Element is supposed to stand in the middle there, but... I don't have the reference book. I've never seen the Stones work!
Theoretically, yes! The four Stones form the beam and the Fifth Element is supposed to stand in the middle there, but... I don't have the reference book. I've never seen the Stones work!	Don't tell me you don't know how all this works?
Don't tell me you don't know how all this works?	Uh.. Have you tried the Diva's suite?
Uh.. Have you tried the Diva's suite?	When is she not in trouble?
When is she not in trouble?	Leeloo's in trouble?
Leeloo's in trouble?	Yeah, I know... to save the world... but right now all I want to do is save Leeloo.
Yeah, I know... to save the world... but right now all I want to do is save Leeloo.	You're probably very angry with me and I quite understand. But I want you to know I'm fighting for a noble cause.
You're probably very angry with me and I quite understand. But I want you to know I'm fighting for a noble cause.	Trying to save your ass so you can save the world.
Trying to save your ass so you can save the world.	What are you doing?
What are you doing?	Father, I was in the Army for awhile and every time they told us we were on a mission to save the world the only thing that changed was I lost a lot of friends. So thanks for the offer.. but no thanks.
Father, I was in the Army for awhile and every time they told us we were on a mission to save the world the only thing that changed was I lost a lot of friends. So thanks for the offer.. but no thanks.	Of course.
Of course.	Good luck..
Good luck..	We have to save the world.
We have to save the world.	What kind of mission?
What kind of mission?	We're not going on vacation..we're on a mission..
We're not going on vacation..we're on a mission..	Is that the usual way priests go on vacation?
Is that the usual way priests go on vacation?	I'm sorry to have to resort to such methods, but we heard about your good luck on he radio and we need the tickets to Fhloston.
I'm sorry to have to resort to such methods, but we heard about your good luck on he radio and we need the tickets to Fhloston.	That's what I thought.
That's what I thought.	It means, "Never without my permission".
It means, "Never without my permission".	Excuse me! Just one thing!  She said something to me a while ago and... I don't really get it... Akta Gamat?
Excuse me! Just one thing!  She said something to me a while ago and... I don't really get it... Akta Gamat?	I know. I was there when she arrived.
I know. I was there when she arrived.	She's fine, really..don't you worry.. just needs some rest..she's had a very long trip.
She's fine, really..don't you worry.. just needs some rest..she's had a very long trip.	I might call to check up on her, you know... to see if she's better?
I might call to check up on her, you know... to see if she's better?	Yes. That's fine! Thank you very much. A thousand times over!
Yes. That's fine! Thank you very much. A thousand times over!	Dallas. Korben Dallas.
Dallas. Korben Dallas.	Thank you so much for your help Mr...?
Thank you so much for your help Mr...?	She's an exception..
She's an exception..	They all like this in your family, father?
They all like this in your family, father?	Uh yes, we're cousins..distant cousins..
Uh yes, we're cousins..distant cousins..	So you do know her.
So you do know her.	There's not a moment to lose! Wake her up, but be gentle about it!  This woman is mankind's most precious possession! She is... perfect!
There's not a moment to lose! Wake her up, but be gentle about it!  This woman is mankind's most precious possession! She is... perfect!	You noticed...
You noticed...	He's a she!
He's a she!	The girl?
The girl?	I brought the girl remember?
I brought the girl remember?	Who are you?
Who are you?	She dropped in on me... holding this.
She dropped in on me... holding this.	That's me.  But I don't know who she is... where did you find her?
That's me.  But I don't know who she is... where did you find her?	She's not my bride, she's my fare. She's looking for this Vito Cornelius. According to the phone guide he lives here.
She's not my bride, she's my fare. She's looking for this Vito Cornelius. According to the phone guide he lives here.	Weddings are one floor down. Congratulations.
Weddings are one floor down. Congratulations.	Excuse me, I'm looking for a priest.
Excuse me, I'm looking for a priest.	This is government business now. You ought to go home and get some rest, Father.
This is government business now. You ought to go home and get some rest, Father.	What are we going to do?
What are we going to do?	Thank you, Mr. President.
Thank you, Mr. President.	Did you see that..thing..swallow our battleship like a gum drop?  You can't even tell me what it is! I ask you for options you give me bullshit. Give them permission to enter our territories with my warmest regards.
Did you see that..thing..swallow our battleship like a gum drop?  You can't even tell me what it is! I ask you for options you give me bullshit. Give them permission to enter our territories with my warmest regards.	White turns to black.  Light to Dark. Life to Death.  For all eternity.
White turns to black.  Light to Dark. Life to Death.  For all eternity.	But what happens if instead of this... Ultimate Warrior... it is EVIL who stands here?
But what happens if instead of this... Ultimate Warrior... it is EVIL who stands here?	Yes..thank God..
Yes..thank God..	Is there anything that can stop it?
Is there anything that can stop it?	And then it will be too late. The goal of evil is to wipe out life! All forms of life. For all eternity...Life upsets it.
And then it will be too late. The goal of evil is to wipe out life! All forms of life. For all eternity...Life upsets it.	And then?
And then?	We have forty-eight hours, the time it needs to adapt itself to our living conditions.
We have forty-eight hours, the time it needs to adapt itself to our living conditions.	That's exactly what we are going to try and do: Protect the lives of some 200 billion of our fellow citizens! General? You may fire when ready.
That's exactly what we are going to try and do: Protect the lives of some 200 billion of our fellow citizens! General? You may fire when ready.	Time is of no importance, Mr. President. Only life is important.
Time is of no importance, Mr. President. Only life is important.	Your theory is interesting Father but I don't think we have time to go into it right now!
Your theory is interesting Father but I don't think we have time to go into it right now!	One more reason to shoot first eh?
One more reason to shoot first eh?	Imagine for a moment that this. thing is not anything that can be identified because it prefers not to be, because it is the antithesis of all we are. Because it is evil.. TOTAL EVIL.
Imagine for a moment that this. thing is not anything that can be identified because it prefers not to be, because it is the antithesis of all we are. Because it is evil.. TOTAL EVIL.	Later, David! Later! There's not a minute to lose!
Later, David! Later! There's not a minute to lose!	You're all safe. Thanks be to God!
You're all safe. Thanks be to God!	It's all my fault.  I'm the servant... It's my mission! Here!
It's all my fault.  I'm the servant... It's my mission! Here!	On the plane... with Mr. Dallas... the real one.
On the plane... with Mr. Dallas... the real one.	Where's Leeloo?
Where's Leeloo?	Good work, my son.  Now all we need is a way to get there.
Good work, my son.  Now all we need is a way to get there.	I got it!  Everything  here we need to know about Fhloston Paradise Hotel... and a detailed blueprint of the entire hotel!
I got it!  Everything  here we need to know about Fhloston Paradise Hotel... and a detailed blueprint of the entire hotel!	Perfect.
Perfect.	They really made her...
They really made her...	I didn't know your size.
I didn't know your size.	There was this guy with a limp who came a month ago..said he was an art dealer ... Asking all these questions about the Sacred Stones..at the time I didn't think anything of it.. What was his name? I'm so bad with names...
There was this guy with a limp who came a month ago..said he was an art dealer ... Asking all these questions about the Sacred Stones..at the time I didn't think anything of it.. What was his name? I'm so bad with names...	Yes. Of course..
Yes. Of course..	Uh father, I know she's been through a lot... but the sacred stones..we don't have much time..
Uh father, I know she's been through a lot... but the sacred stones..we don't have much time..	Learning our history! The last 5000 years that she missed! She's been out of circulation a while, you know.
Learning our history! The last 5000 years that she missed! She's been out of circulation a while, you know.	What's she doing?
What's she doing?	Absolutely sure There's the triple suns on her gloves!
Absolutely sure There's the triple suns on her gloves!	Father.  You sure she's the Supreme Being?
Father.  You sure she's the Supreme Being?	The Supreme Being, the fifth element is here, in our parish!!! It's a miracle!!!
The Supreme Being, the fifth element is here, in our parish!!! It's a miracle!!!	Father, will you please explain what's going on?
Father, will you please explain what's going on?	I can't wear these clothes! This calls for dignity! I have to dress the part!
I can't wear these clothes! This calls for dignity! I have to dress the part!	What is?
What is?	It's a miracle!!!
It's a miracle!!!	They are... with me...
They are... with me...	I'm sorry, but... the Stones...
I'm sorry, but... the Stones...	I would like to have died in peace...
I would like to have died in peace...	Listen, the last time I admitted to a woman I loved her ... I never saw her again.
Listen, the last time I admitted to a woman I loved her ... I never saw her again.	I don't have time... I need to know.
I don't have time... I need to know.	I... I don't know! We hardly know each other... it takes time!
I... I don't know! We hardly know each other... it takes time!	Do you love her?
Do you love her?	I'll help her, I promise, but I think you should tell me where the Stones are!
I'll help her, I promise, but I think you should tell me where the Stones are!	She was taught to love the life of others... but not her own. You have to teach her to love if you want her to truly live!
She was taught to love the life of others... but not her own. You have to teach her to love if you want her to truly live!	...So Cornelius was telling the truth!
...So Cornelius was telling the truth!	Yes, and more than that... You must give her the Stones, she's the only one who knows how to use them.
Yes, and more than that... You must give her the Stones, she's the only one who knows how to use them.	Leeloo... is... she's...
Leeloo... is... she's...	The Fifth Element... The Supreme Being... Your wife...
The Fifth Element... The Supreme Being... Your wife...	Who?
Who?	You're a good man... She was right to have chosen you...
You're a good man... She was right to have chosen you...	Leeloo..
Leeloo..	Uh huh..and I don't suppose you got the name of this..perfect fare..
Uh huh..and I don't suppose you got the name of this..perfect fare..	5'7", green eyes... long legs... great skin... perfect..
5'7", green eyes... long legs... great skin... perfect..	So, just how big was this fare?
So, just how big was this fare?	Finger..man..I'm sorry..listen..I was on the way over but I had a fare fall into my lap.. y'know one of those big fares you just can't resist..
Finger..man..I'm sorry..listen..I was on the way over but I had a fare fall into my lap.. y'know one of those big fares you just can't resist..	Hey bud...I'm waiting all day here.
Hey bud...I'm waiting all day here.	Hello?
Hello?	In your dreams! See you tonight!
In your dreams! See you tonight!	Uh... at least fifty.
Uh... at least fifty.	How many points you got left on your license?
How many points you got left on your license?	Finger!  I'm driving a cab now, not a space fighter!!
Finger!  I'm driving a cab now, not a space fighter!!	You forgetting who sat next to you for a thousand missions. I know how you drive.
You forgetting who sat next to you for a thousand missions. I know how you drive.	I don't need one.
I don't need one.	Like shit.
Like shit.	How do I look?
How do I look?	I just found a picture of you.
I just found a picture of you.	Don't exist bud.
Don't exist bud.	I don't want a million - I just want one.  A perfect one.
I don't want a million - I just want one.  A perfect one.	You still pining for that two timing bitch. Forget her. There are a million women out there.
You still pining for that two timing bitch. Forget her. There are a million women out there.	At least, the cat comes back.
At least, the cat comes back.	Oh, yeah, I forgot.You still prefer your cat to the real thing.
Oh, yeah, I forgot.You still prefer your cat to the real thing.	I was talking to the cat.
I was talking to the cat.	I love you too Major, but you haven't called me that since basic training.
I love you too Major, but you haven't called me that since basic training.	Hey bud! Finger here.
Hey bud! Finger here.	Yeah?
Yeah?	...Leeloo.
...Leeloo.	Hey,  that's... cute... Do you have a nickname, something a little... shorter?
Hey,  that's... cute... Do you have a nickname, something a little... shorter?	Leeloo Minai Lekarariba-Laminai-Tchai Ekbat De Sebat.
Leeloo Minai Lekarariba-Laminai-Tchai Ekbat De Sebat.	...What's your name?
...What's your name?	I'm sorry, it's just that... I was told to wake you up gently, so I figured...
I'm sorry, it's just that... I was told to wake you up gently, so I figured...	Eto Akta Gamat!
Eto Akta Gamat!	Vito Cornelius?
Vito Cornelius?	Vito... Cor... Ni-lious... Priest...
Vito... Cor... Ni-lious... Priest...	You're not that bad... Come on we'll get you to a doctor.
You're not that bad... Come on we'll get you to a doctor.	...Priest...
...Priest...	It there's one thing I don't need advice on, it's how to drive.
It there's one thing I don't need advice on, it's how to drive.	Daya deo dono Dato.  Dalutan!
Daya deo dono Dato.  Dalutan!	...'Scuse me?
...'Scuse me?	Akina delutan, nou-shan.
Akina delutan, nou-shan.	We will be ready, Lord.
We will be ready, Lord.	When EVIL returns so shall we.
When EVIL returns so shall we.	Time is of no importance, only life is important.
Time is of no importance, only life is important.	Knowing mankind as I do, that could take centuries!
Knowing mankind as I do, that could take centuries!	When mankind comes to its senses. We will return.
When mankind comes to its senses. We will return.	Will the elements be gone now forever from this place?
Will the elements be gone now forever from this place?	Take them and put them in a safe place.
Take them and put them in a safe place.	The Fifth Element...
The Fifth Element...	Don't you ever ask me for another thing in my life again, you've killed your poor mother with your own hands!
Don't you ever ask me for another thing in my life again, you've killed your poor mother with your own hands!	...Ma???
...Ma???	You little sleaze bag!
You little sleaze bag!	Hello?
Hello?	...Not yet.
...Not yet.	Have you pulled yourself together?
Have you pulled yourself together?	Yeah?
Yeah?	They've been blaring out your name on the radio for the last hour, blockhead!
They've been blaring out your name on the radio for the last hour, blockhead!	Ma. If I'd won, I'd know about it. Someone would have notified me.
Ma. If I'd won, I'd know about it. Someone would have notified me.	You just won a trip, you dolt! Ten days in Fhloston Paradise for two!
You just won a trip, you dolt! Ten days in Fhloston Paradise for two!	All I want is an explanation! I just got in, I lost my job. I smashed my cab. I got mugged, but other than that everything's peachy, Ma, thanks for asking!! Now settle down and explain to me calmly..
All I want is an explanation! I just got in, I lost my job. I smashed my cab. I got mugged, but other than that everything's peachy, Ma, thanks for asking!! Now settle down and explain to me calmly..	I get it! You want to make me beg, is that it?
I get it! You want to make me beg, is that it?	I'm coming!. Ma, what're you talking about?
I'm coming!. Ma, what're you talking about?	...And now you're making fun of me? I'm warning you! If you don't take me after all these years of sacrifice, I'll never forgive you!!
...And now you're making fun of me? I'm warning you! If you don't take me after all these years of sacrifice, I'll never forgive you!!	Other than that... You all right?
Other than that... You all right?	Yes ma..
Yes ma..	Are you listening to me, you ingrate!
Are you listening to me, you ingrate!	I've been playing twice a week for 20 years, 20 years I've been eating those shitty croquettes.
I've been playing twice a week for 20 years, 20 years I've been eating those shitty croquettes.	Hi Ma...
Hi Ma...	You're the nastiest dirtbag I know in this stinking City!
You're the nastiest dirtbag I know in this stinking City!	...Hello?
...Hello?	Found it?
Found it?	6... 5...
6... 5...	Anyone know how to release the lines on this crate?
Anyone know how to release the lines on this crate?	30 seconds...
30 seconds...	This is a police control action..
This is a police control action..	I'm sorry..
I'm sorry..	Thanks for reminding me..
Thanks for reminding me..	You have nine points left on your license..
You have nine points left on your license..	I had the worst goddamn nightmare.
I had the worst goddamn nightmare.	Fuel level 6.03..Propulsion 2x4...
Fuel level 6.03..Propulsion 2x4...	How you doing this morning?  Sleep OK? I didn't.
How you doing this morning?  Sleep OK? I didn't.	Welcome on board Mr. Dallas..
Welcome on board Mr. Dallas..	Yeah... then I sighed... like this.
Yeah... then I sighed... like this.	Is that all?
Is that all?	Look, you did something that set it off. Try to remember. Concentrate. Tell me exactly what you did!!
Look, you did something that set it off. Try to remember. Concentrate. Tell me exactly what you did!!	Nothing! Swear to God, I didn't do nothing!
Nothing! Swear to God, I didn't do nothing!	What did you say? What did you do?
What did you say? What did you do?	Dear listeners, your favorite DJ is alive and kicking. It's seven o'clock and time for the news. Tune in tomorrow for another adventure.
Dear listeners, your favorite DJ is alive and kicking. It's seven o'clock and time for the news. Tune in tomorrow for another adventure.	Solid little jobs, aren't they?
Solid little jobs, aren't they?	Fuck it! Hold tight!
Fuck it! Hold tight!	I don't even know what I'm looking for!
I don't even know what I'm looking for!	It's like a cab isn't it?
It's like a cab isn't it?	You know how to fly this thing?
You know how to fly this thing?	I'll be right back.
I'll be right back.	Like Korben, can I have 30 seconds of your time here?
Like Korben, can I have 30 seconds of your time here?	Not without Leeloo.
Not without Leeloo.	Maybe we oughta be going, what do you think?
Maybe we oughta be going, what do you think?	We got to find the leader. Mangalores don't fight without a leader.
We got to find the leader. Mangalores don't fight without a leader.	He's on vacation.
He's on vacation.	Six to the left. One to the right.
Six to the left. One to the right.	Got it...
Got it...	You don't do what I say... I'll waste you myself. Got it?
You don't do what I say... I'll waste you myself. Got it?	I didn't have a dad... never saw him... never even heard him. 50 billion people listen to me every day... and he doesn't hear me...
I didn't have a dad... never saw him... never even heard him. 50 billion people listen to me every day... and he doesn't hear me...	Yeah, very big, a giant.
Yeah, very big, a giant.	...You got brothers and sisters? What about your dad? Tell me about your dad! What was he like? Physically? Big, I suppose?
...You got brothers and sisters? What about your dad? Tell me about your dad! What was he like? Physically? Big, I suppose?	I don't think this is a good time...
I don't think this is a good time...	Oh, yes! Do that! You treat me right, man. Tell me all about yourself, your roots, your personal life, your childhood dreams...
Oh, yes! Do that! You treat me right, man. Tell me all about yourself, your roots, your personal life, your childhood dreams...	I'll take you to the bar, after that, you're on your own.
I'll take you to the bar, after that, you're on your own.	My main man! Please don't leave me here alone. My head's killing me and my adoring fans are gonna tear me apart! Get me outta here!
My main man! Please don't leave me here alone. My head's killing me and my adoring fans are gonna tear me apart! Get me outta here!	Crystal.
Crystal.	I didn't come here to play Dumbo on the radio. So tomorrow between 5 and 7 give yourself a hand, that clear pal?
I didn't come here to play Dumbo on the radio. So tomorrow between 5 and 7 give yourself a hand, that clear pal?	Uh... not really.
Uh... not really.	...Quiver ladies, he's gonna set the world on fire right here from 5 to 7! You'll know everything there is to know about the D-man. His dreams, his desires, his most intimate of intimates.  And from what I'm looking at intimate is the stud muffin's middle name. So tell me my main man... you nervous in the service?
...Quiver ladies, he's gonna set the world on fire right here from 5 to 7! You'll know everything there is to know about the D-man. His dreams, his desires, his most intimate of intimates.  And from what I'm looking at intimate is the stud muffin's middle name. So tell me my main man... you nervous in the service?	Does it get any better or what!
Does it get any better or what!	...Hi.
...Hi.	Oh, yes you will...
Oh, yes you will...	Three of us will never fit in there!
Three of us will never fit in there!	...Sorry, General, but we've got no choice! It'll only take a minute! Let me set up another meeting and I'll be back.
...Sorry, General, but we've got no choice! It'll only take a minute! Let me set up another meeting and I'll be back.	I mean my future.. my ex.. My future ex.. if she sees you here I'm finished.  She hates you guys. It's what killed us in the first place. Please...
I mean my future.. my ex.. My future ex.. if she sees you here I'm finished.  She hates you guys. It's what killed us in the first place. Please...	I thought you were divorced.
I thought you were divorced.	It's my wife.
It's my wife.	What is it?
What is it?	...Shit!
...Shit!	One reason... I want to stay the only one left alive.
One reason... I want to stay the only one left alive.	Why not?
Why not?	I'm not going.
I'm not going.	Old tricks are the best tricks eh?
Old tricks are the best tricks eh?	You couldn't come up with something a little more discreet?
You couldn't come up with something a little more discreet?	You have won the annual Gemini contest and a trip to Fhloston Paradise. For two. Congratulations. Here are your tickets.
You have won the annual Gemini contest and a trip to Fhloston Paradise. For two. Congratulations. Here are your tickets.	I've had enough good news for today
I've had enough good news for today	Don't you open your messages?
Don't you open your messages?	You're the only one left alive...
You're the only one left alive...	And the third one?
And the third one?	Two: Of all the members of your unit you were the most highly decorated.
Two: Of all the members of your unit you were the most highly decorated.	Three reasons... One: As part of The Elite Special Forces Unit of the Federated Army you are an expert in the use of all weapons and spacecraft needed for this mission.
Three reasons... One: As part of The Elite Special Forces Unit of the Federated Army you are an expert in the use of all weapons and spacecraft needed for this mission.	Just one... why me?
Just one... why me?	You're to leave immediately for Fhloston Paradise. Retrieve four Stones from the Diva Plavalaguna. And bring them back with the utmost discretion as possible. Any questions'?
You're to leave immediately for Fhloston Paradise. Retrieve four Stones from the Diva Plavalaguna. And bring them back with the utmost discretion as possible. Any questions'?	Where have I heard this song before?
Where have I heard this song before?	To save the world.
To save the world.	What mission?
What mission?	Major Dallas, if our calculations are correct you still have 57 hours owed to the Federal Army on your enlistment which is more than you will need for a mission of the utmost importance.
Major Dallas, if our calculations are correct you still have 57 hours owed to the Federal Army on your enlistment which is more than you will need for a mission of the utmost importance.	I love you...
I love you...	Tell me...
Tell me...	Because...
Because...	Why?... Why would you need me?
Why?... Why would you need me?	Yes, you do! I need you. More than you can imagine! Stand up straight!
Yes, you do! I need you. More than you can imagine! Stand up straight!	I have thousands of memories but none of them are mine... There is no need for me other than this. I'm immortal but I have no life.
I have thousands of memories but none of them are mine... There is no need for me other than this. I'm immortal but I have no life.	But I don't know love... I'm like a machine programmed to save other people's lives but never to have one of my own.
But I don't know love... I'm like a machine programmed to save other people's lives but never to have one of my own.	Exactly.
Exactly.	...Like love...
...Like love...	You're right but there are lots of good things... beautiful things...
You're right but there are lots of good things... beautiful things...	What's the use of saving lives... when you see what you do with them!
What's the use of saving lives... when you see what you do with them!	Leeloo! Listen to me! I'll take you on a vacation afterwards! A real vacation, this time, for as long as you want. Come on! You can do it!
Leeloo! Listen to me! I'll take you on a vacation afterwards! A real vacation, this time, for as long as you want. Come on! You can do it!	I want to sleep... forever...
I want to sleep... forever...	You can sleep tomorrow... come on...
You can sleep tomorrow... come on...	I'm so tired...
I'm so tired...	It's up to you now, Angel!
It's up to you now, Angel!	...The rain falls...
...The rain falls...	I know all that, Leeloo! I'm talking about the Stones.
I know all that, Leeloo! I'm talking about the Stones.	The wind blows... the fire burns...
The wind blows... the fire burns...	Leeloo? The Stones! We have to open them! How does it work?
Leeloo? The Stones! We have to open them! How does it work?	Protect life... Until death.
Protect life... Until death.	I told you not to read all that crap!
I told you not to read all that crap!	Five hundred wars... Arms... Drugs... Money... Everything you create is used to destroy...
Five hundred wars... Arms... Drugs... Money... Everything you create is used to destroy...	Why? We did pretty well, wouldn't you say?
Why? We did pretty well, wouldn't you say?	I'm so very sad.
I'm so very sad.	The words you're looking for weren't in the dictionary you studied. I won't be long.
The words you're looking for weren't in the dictionary you studied. I won't be long.	You're nothing but a... a...
You're nothing but a... a...	It's difficult.
It's difficult.	And you can't concentrate with me around?.
And you can't concentrate with me around?.	I told you I need to work in peace. Remember? I need to concentrate.
I told you I need to work in peace. Remember? I need to concentrate.	No, not at all!  I mean, just the opposite, you're... you're beautiful!
No, not at all!  I mean, just the opposite, you're... you're beautiful!	I'm going to see the Diva sing. What's the matter?... Do I look bad?
I'm going to see the Diva sing. What's the matter?... Do I look bad?	Where you going?
Where you going?	OK, you can turn around!
OK, you can turn around!	You noticed..
You noticed..	Yes... you know there's a lot of differences between men women.
Yes... you know there's a lot of differences between men women.	You get that off the screen?
You get that off the screen?	You know women normally change five times more than men.
You know women normally change five times more than men.	Here we go again...
Here we go again...	...Hoppi-hoppa.
...Hoppi-hoppa.	Uh...
Uh...	Good! Do you know how we say "make love"?
Good! Do you know how we say "make love"?	Apipoussan?
Apipoussan?	Apipoussan!
